Wall time,Step,Value
1774905365.16138,1,28.48958396911621
1774905443.700703,2,27.85416603088379
1774905524.763346,3,28.562503814697266
1774905604.4986901,4,28.458332061767578
1774905684.112214,5,28.687498092651367
1774905776.394337,6,88.5625
1774905855.389285,7,88.54167175292969
1774905933.245901,8,88.57292175292969
1774906010.58522,9,88.38542175292969
1774906090.105005,10,88.52082824707031
1774906200.9329438,11,87.16667175292969
1774906281.756458,12,86.51042175292969
1774906364.9315479,13,86.98959350585938
1774906447.346702,14,86.90625762939453
1774906532.059325,15,87.44791412353516
1774906649.567766,16,86.48957824707031
1774906733.63318,17,86.46875762939453
1774906816.496154,18,86.38542175292969
1774906900.145493,19,86.92709350585938
1774906982.679539,20,86.58332824707031
1774907100.741983,21,87.00000762939453
1774907177.629528,22,86.42708587646484
1774907255.652482,23,86.84375
1774907332.791422,24,87.11458587646484
1774907408.873869,25,86.5625
1774907523.438299,26,86.29165649414062
1774907601.345481,27,87.04166412353516
1774907685.946832,28,86.23958587646484
1774907767.208058,29,86.65625762939453
1774907849.312536,30,86.44792175292969
1774907963.599926,31,86.625
1774908042.978504,32,87.5625
1774908121.3114262,33,87.35416412353516
1774908199.257474,34,87.15625
1774908277.435833,35,86.94792175292969
1774908394.179322,36,87.79167175292969
1774908475.416306,37,86.92707824707031
1774908553.005346,38,87.01042175292969
1774908635.108258,39,87.20832824707031
1774908714.589598,40,87.22917175292969
1774908830.544075,41,87.75000762939453
1774908910.343093,42,87.28125762939453
1774908988.4855402,43,87.5
1774909067.91042,44,87.62500762939453
1774909149.171724,45,87.61458587646484
1774909262.7483819,46,88.10417175292969
1774909343.2424,47,87.57292175292969
1774909424.833326,48,87.42707824707031
1774909506.001065,49,87.76041412353516
1774909588.231097,50,87.70834350585938
1774909706.4039838,51,87.85416412353516
1774909786.974229,52,87.71875762939453
1774909867.8278809,53,87.74999237060547
1774909947.080694,54,87.41666412353516
1774910027.320111,55,87.66666412353516
1774910143.376574,56,87.57292175292969
1774910222.872989,57,87.375
1774910302.0848188,58,88.07292175292969
1774910383.281427,59,87.79167175292969
1774910462.607213,60,87.53125
1774910584.432419,61,87.42707824707031
1774910665.075808,62,87.82291412353516
1774910746.779905,63,87.40625
1774910827.994685,64,87.66666412353516
1774910911.04109,65,87.27082824707031
1774911025.348052,66,87.41667938232422
1774911104.382547,67,87.73957824707031
1774911184.3543081,68,88.1875
1774911265.1975281,69,87.8125
1774911347.971285,70,88.01042175292969
1774911466.719231,71,87.73957824707031
1774911545.83418,72,87.62500762939453
1774911627.368918,73,87.64583587646484
1774911707.777869,74,87.5625
1774911789.1030369,75,87.78125762939453
1774911906.659798,76,87.64583587646484
1774911987.8830662,77,87.98957824707031
1774912065.987108,78,87.32292175292969
1774912144.750323,79,87.08334350585938
1774912228.135762,80,87.54167175292969
1774912344.93629,81,87.54167175292969
1774912424.8949308,82,87.61458587646484
