Wall time,Step,Value
1774905414.7289898,1,-0.0034211839083582163
1774905495.0987132,2,-0.002680694917216897
1774905574.766044,3,-0.003211782779544592
1774905654.009325,4,-0.0034301395062357187
1774905733.5293288,5,-0.003552827751263976
1774905825.752256,6,-0.0011539948172867298
1774905903.920286,7,-0.0013341204030439258
1774905981.734467,8,-0.000720952870324254
1774906059.6823611,9,-0.0011821907246485353
1774906141.3710022,10,-0.0009279620135203004
1774906252.8314612,11,-0.0024270969443023205
1774906333.736156,12,-0.002513489918783307
1774906416.6222851,13,-0.002187296049669385
1774906500.94886,14,-0.0022777544800192118
1774906582.564919,15,-0.0023657099809497595
1774906702.155849,16,-0.0020567532628774643
1774906783.7344708,17,-0.003572063287720084
1774906869.428798,18,-0.0028900178149342537
1774906951.267998,19,-0.0025556115433573723
1774907036.026922,20,-0.0025275524239987135
1774907149.2445,21,-0.001987241441383958
1774907226.296007,22,-0.0017176197143271565
1774907303.397522,23,-0.001959735993295908
1774907380.802254,24,-0.001488989102654159
1774907458.651385,25,-0.0014426895650103688
1774907572.941707,26,-0.0020018527284264565
1774907654.127976,27,-0.0019046644447371364
1774907737.555437,28,-0.001382724498398602
1774907819.343945,29,-0.001437069964595139
1774907899.363782,30,-0.0018071773229166865
1774908013.679955,31,-0.0012665988178923726
1774908092.30302,32,-0.0012780196266248822
1774908169.8364632,33,-0.0021166601218283176
1774908248.55321,34,-0.0015044196043163538
1774908328.631305,35,-0.0019599541556090117
1774908445.603853,36,-0.0020260896999388933
1774908523.755219,37,-0.0017618563724681735
1774908604.23716,38,-0.0016813448164612055
1774908685.700983,39,-0.0019423604244366288
1774908765.198019,40,-0.00202894932590425
1774908881.6047602,41,-0.002072551054880023
1774908958.5868359,42,-0.0017254484118893743
1774909038.0880861,43,-0.002174884546548128
1774909118.514624,44,-0.0010488088009878993
1774909198.14731,45,-0.0008932301425375044
1774909313.184923,46,-0.0012565264478325844
1774909393.025912,47,-0.001021178555674851
1774909475.8433511,48,-0.0018611736595630646
1774909557.100835,49,-0.0006180843338370323
1774909639.531862,50,-0.0020111382473260164
1774909756.5684,51,-0.0012782496633008122
1774909838.233419,52,-0.0012633875012397766
1774909917.5469592,53,-0.0018365979194641113
1774909997.5543292,54,-0.001422506757080555
1774910077.390949,55,-0.0015341787366196513
1774910193.531032,56,-0.0016533627640455961
1774910272.550126,57,-0.0018152084667235613
1774910354.626164,58,-0.0009463899186812341
1774910433.245856,59,-0.0027525541372597218
1774910514.677593,60,-0.0021225775126367807
1774910634.4697511,61,-0.0010306545300409198
1774910716.191137,62,-0.0010654833167791367
1774910797.784503,63,-0.0018814487848430872
1774910880.029334,64,-0.0012352927587926388
1774910960.4837608,65,-0.0013953823363408446
1774911074.0793548,66,-0.0013840304454788566
1774911153.005771,67,-0.0010431896662339568
1774911235.142142,68,-0.0011974454391747713
1774911317.532602,69,-0.001269916770979762
1774911399.1271439,70,-0.001307235681451857
1774911516.678182,71,-0.0019206119468435645
1774911596.321985,72,-0.002216767054051161
1774911679.281197,73,-0.0015313501935452223
1774911758.401342,74,-0.001790875568985939
1774911839.2443001,75,-0.0018520433222875
1774911957.577934,76,-0.0012589322868734598
1774912037.047551,77,-0.0010873610153794289
1774912115.655357,78,-0.0013799219159409404
1774912196.619772,79,-0.0017053951742127538
1774912278.444532,80,-0.001513470197096467
1774912394.117782,81,-0.0006283426191657782
