Wall time,Step,Value
1774895588.220149,1,1.4760935306549072
1774895666.3724108,2,1.242215633392334
1774895748.24993,3,1.196835994720459
1774895831.01311,4,0.9285752773284912
1774895913.071759,5,1.159697413444519
1774896009.2509482,6,1.3936930894851685
1774896091.2581198,7,0.7539569139480591
1774896172.54422,8,0.6160023808479309
1774896254.1004071,9,1.1217540502548218
1774896337.1315079,10,1.3032867908477783
1774896445.411454,11,1.053418517112732
1774896525.493239,12,1.1314172744750977
1774896603.533389,13,0.9470574855804443
1774896680.635423,14,2.1600544452667236
1774896757.383717,15,0.9691754579544067
1774896870.131796,16,1.159980297088623
1774896951.665183,17,1.9420983791351318
1774897032.75106,18,0.29803261160850525
1774897111.6011899,19,0.2386283576488495
1774897192.784331,20,1.3456528186798096
1774897310.257505,21,1.070307731628418
1774897389.1996899,22,0.9869983196258545
1774897470.059702,23,1.3418382406234741
1774897549.266033,24,0.9132416844367981
1774897629.5548348,25,1.2206403017044067
1774897746.699939,26,1.0267919301986694
1774897826.323214,27,1.3385461568832397
1774897907.512667,28,1.3317997455596924
1774897987.41069,29,1.0533509254455566
1774898066.884703,30,1.0969352722167969
1774898183.131965,31,0.752585232257843
1774898263.0180202,32,1.113584041595459
1774898341.764103,33,0.38710856437683105
1774898418.425205,34,1.3220375776290894
1774898495.5080168,35,1.2543668746948242
1774898610.0824609,36,0.6290015578269958
1774898688.023554,37,0.9758439660072327
1774898766.2311308,38,1.5235424041748047
1774898844.456406,39,1.7369617223739624
1774898922.825747,40,1.4000999927520752
1774899036.145092,41,1.1954458951950073
1774899112.200337,42,1.6230449676513672
1774899188.4904692,43,1.4440563917160034
1774899265.3839989,44,1.139911413192749
1774899341.3750432,45,0.8217071890830994
1774899453.016595,46,0.47234585881233215
1774899531.495167,47,1.0239640474319458
1774899607.502113,48,1.0144054889678955
1774899684.698132,49,0.7527037262916565
1774899762.110089,50,-0.15141119062900543
1774899873.4493241,51,1.2074178457260132
1774899950.465268,52,1.0329018831253052
1774900027.254571,53,1.1353574991226196
1774900103.9253361,54,1.176660418510437
1774900183.0701041,55,1.5053719282150269
1774900296.7676091,56,0.755113959312439
1774900373.713849,57,0.5929993391036987
1774900449.2748501,58,1.2204928398132324
1774900526.9403672,59,1.3915497064590454
1774900605.700737,60,1.1248509883880615
1774900719.6205409,61,1.9743677377700806
1774900797.756105,62,1.4567384719848633
1774900877.264244,63,1.2844244241714478
1774900957.2449348,64,1.5771700143814087
1774901037.4471822,65,-0.13410700857639313
1774901153.409149,66,1.2140358686447144
1774901232.2416818,67,1.1200931072235107
1774901311.2026398,68,0.784719705581665
1774901388.962528,69,0.695239782333374
1774901467.2757828,70,1.1883792877197266
1774901581.5067499,71,1.3047645092010498
1774901660.815799,72,0.537442684173584
1774901740.4363992,73,0.7318996787071228
1774901820.179412,74,0.8268226981163025
1774901901.772774,75,0.9884712100028992
